th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,th12,th13,th14,th15,th16,th17,th18
27.5,27.6,27.6,27.6,27.4,27.5,27.5,27.5,27.2,27.4,27.4,27.4,27.2,27.4,27.3,27.3,71,27.5
27.6,27.7,27.7,27.7,27.5,27.5,27.5,27.5,27.2,27.5,27.5,27.4,27.3,27.4,27.4,27.4,66,27.5
27.4,27.5,27.5,27.5,27.4,27.4,27.4,27.4,27,27.3,27.3,27.3,27.2,27.3,27.3,27.3,67,27.5
27.5,27.5,27.5,27.5,27.4,27.5,27.4,27.5,28.6,28,27.3,27.2,29.9,28.1,27.3,27.4,66,27.5
27.5,27.5,27.4,27.5,27.5,27.4,27.5,27.4,31.5,27.7,27.3,27.2,28,27.5,27.3,27.3,116,36.2
27.4,27.4,27.3,27.4,27.5,27.4,27.4,27.3,31.5,27.6,27.3,27.1,28,27.5,27.3,27.3,116,36.2
27.6,27.6,27.6,27.6,28.3,28.2,27.6,27.5,32.9,31.2,27.5,27.3,28.5,28.2,27.4,27.4,229,36.2
27.6,27.4,27.5,27.4,28.5,28.1,27.4,27.3,32.7,30.5,27.4,27.1,28.1,27.7,27.3,27.2,219,36.2
27.4,27.4,27.4,27.4,28.4,28,27.5,27.3,32.7,30.5,27.3,27.1,28,27.7,27.3,27.2,217,36.2
27.4,27.4,27.5,27.5,27.5,27.5,27.4,27.3,30.8,27.3,27.2,27.1,28.1,27.4,27.2,27.2,115,36.2
27.4,27.5,27.6,27.6,27.5,27.5,27.4,27.3,31,27.4,27.3,27.3,28.1,27.5,27.3,27.2,104,36.2
27.4,27.4,27.5,27.4,27.5,27.4,27.3,27.2,30.9,27.3,27.2,27.1,28,27.3,27.2,27.1,103,36.2
27.5,27.6,27.6,27.6,27.5,27.5,27.4,27.4,31,27.4,27.3,27.2,28.1,27.5,27.2,27.2,96,36.2
27.4,27.5,27.6,27.6,27.5,27.4,27.3,27.3,30.9,27.3,27.3,27.2,28,27.3,27.1,27.1,91,36.2
27.6,27.5,27.6,27.6,27.7,27.5,27.4,27.4,32.5,28.8,27.4,27.3,28.1,27.7,27.2,27.3,158,36.2
27.6,27.7,27.6,27.6,27.6,27.4,27.4,27.4,32.4,28.8,27.4,27.3,28.1,27.6,27.3,27.2,150,36.2
27.5,27.6,27.6,27.6,27.6,27.5,27.4,27.4,32.3,28.6,27.4,27.2,27.9,27.5,27.1,27.1,153,36.2
27.4,27.4,27.5,27.4,27.5,27.4,27.3,27.3,32.4,28.5,27.3,27.1,27.8,27.4,27.2,27.1,183,36.2
27.6,27.6,27.6,27.6,27.6,27.4,27.4,27.4,32.5,28.6,27.4,27.3,28,27.6,27.3,27.3,141,36.2
27.4,27.4,27.4,27.4,27.3,27.3,27.3,27.3,29.9,28.4,27.1,27,30.5,28.9,27.1,27,64,27
27.7,27.6,27.6,27.5,29.9,29.5,27.7,27.5,33.7,33.2,28.9,27.2,29.5,29.6,27.6,27.3,354,36.2
27.7,27.6,27.6,27.5,30,29.6,27.9,27.4,33.8,33.4,29.1,27.3,29.6,29.9,27.7,27.3,357,36.2
27.4,27.4,27.3,27.4,28.9,27.4,27.3,27.3,31.3,27.4,27.1,27,27.1,27.2,27.1,27.1,192,36.2
24.6,25.1,25.9,24.4,29.1,31.9,31.3,25,30.2,30.4,26.6,24.5,29.3,28.8,24.9,24.2,169,35.6
24.5,24.7,25.4,24.4,28.6,31.1,31.6,25.1,30.5,31.2,28,24.6,29.4,29,25.1,24.3,173,35.6
24.6,24.9,25.6,24.5,28.6,31.3,31.5,25.1,30.6,30.9,27.4,24.6,29.3,29,24.9,24.3,166,35.6
